PUE,WUE,Case,Climate Zone,Cooling system (Original),Cooling system,Data center size,type,Case (Original)
1.4105502,1.5281726121902466,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.3270782,1.4282771348953247,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.3560927,1.2046096324920654,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.3882177,1.3444620370864868,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.526448,1.611353039741516,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.3251739,1.604318380355835,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4056133,1.6629650592803955,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4129583,1.6342051029205322,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4740212,1.644698977470398,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.5098834,1.5354524850845337,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4341373,1.7002873420715332,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.3216225,1.2463691234588623,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.33921,1.4643229246139526,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4873918,1.6941033601760864,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.469416,1.4082119464874268,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.5469579,1.5906884670257568,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4719734,1.718239426612854,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4739963,1.5984147787094116,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4316308,1.3679865598678589,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
